Invoice,Bill
1,92.53610967
2,138.2659817
3,142.7415501
4,255.9007185
5,94.85866875
6,130.5495672
7,74.0659056
8,70.28848488
9,75.88007767
10,72.0584635
11,184.4501196
12,92.64514031
13,180.1353002
14,121.3725389
15,88.24907567
16,72.14545388
17,174.1285561
18,91.30207581
19,235.2174921
20,78.07303412
21,169.9385853
22,123.720376
23,360.8457531
24,81.53649526
25,85.87141732
26,90.02619648
27,244.689455
28,211.5397831
29,173.9534659
30,137.434875
31,143.8039505
32,156.3714053
33,212.7165858
34,166.2661062
35,126.3928424
36,96.97725149
37,103.9737108
38,112.4141272
39,210.7541715
40,83.61804867
41,174.8834959
42,81.98898065
43,256.6573701
44,207.5956582
45,251.9424064
46,286.3946291
47,216.9174522
48,172.886015
49,101.5404912
50,162.5615914
51,167.1870348
52,246.7152877
53,163.938007
54,77.7208035
55,160.7343817
56,89.11933247
57,89.29968499
58,216.8536783
59,78.90341404
60,336.0416927
61,138.6020941
62,217.4187832
63,143.3190634
64,180.1248601
65,143.2705376
66,145.9299417
67,142.5814182
68,84.80827864
69,194.0127448
70,78.87588809
71,83.26060581
72,107.6353523
73,174.2490805
74,174.156787
75,122.0958838
76,210.1069631
77,87.18361183
78,134.9726726
79,119.2189036
80,131.0244912
81,170.4634272
82,185.9821277
83,84.64037268
84,143.9132161
85,140.8173803
86,218.0641138
87,89.00969807
88,192.0856818
89,105.7400625
90,227.7287731
91,213.9901954
92,123.2903141
93,168.4681374
94,112.4326295
95,130.5915315
96,127.8313939
97,85.45985023
98,219.0284736
99,250.2044529
100,209.7969423
101,153.5301978
102,95.31842732
103,264.310202
104,188.3246008
105,280.8439148
106,216.9888161
107,192.9448
108,113.4571038
109,136.9766394
110,169.8445497
111,138.9108856
112,239.0360932
113,171.5575899
114,117.7224466
115,145.0412713
116,215.3999362
117,161.5302709
118,92.02182143
119,229.6992674
120,76.12547047
121,161.0809998
122,171.6083997
123,116.4155431
124,209.2943666
125,113.7693024
126,231.3372116
127,113.133363
128,174.9327485
129,123.8000642
130,106.8511454
131,152.7898216
132,98.02888463
133,81.8471147
134,154.235373
135,154.1085311
136,206.71316
137,152.4554654
138,336.727119
139,194.8236126
140,107.7709963
141,203.7253031
142,123.898969
143,217.8269409
144,171.7944508
145,98.88353984
146,151.6935358
147,176.904866
148,100.0109259
149,84.91586827
150,103.0209053
151,135.4358381
152,87.47592287
153,204.6668609
154,128.2096049
155,209.7165452
156,126.2375635
157,182.9798047
158,184.7013837
159,254.641395
160,243.9892002
161,154.0496736
162,185.799842
163,76.72833069
164,110.9923585
165,150.9621294
166,79.87294473
167,321.3918043
168,81.56796135
169,191.0823241
170,192.3065712
171,233.5161975
172,318.9949231
173,103.4803877
174,125.8967754
175,123.7773457
176,119.3139837
177,132.8823102
178,134.4323625
179,104.6638249
180,91.28927502
181,164.0628832
182,101.2057337
183,118.4135911
184,271.5002058
185,255.645568
186,136.8098093
187,69.87094337
188,103.1927053
189,194.5732805
190,107.0069197
191,228.9800902
192,324.5532812
193,117.4319905
194,93.187692
