"","SampleID","q5","q6"
"1","1",75,52.6619862922975
"2","2",75,54.9402499936229
"3","3",75,55.3012963809419
"4","4",75,56.2067774696456
"5","5",75,56.8086334768874
"6","6",75,57.0616931261984
"7","7",75,58.1652031830089
"8","8",75,60.0718479719957
"9","9",75,60.620235599004
"10","10",75,60.8449094192497
"11","11",75,61.1422787906642
"12","12",75,61.3015218784067
"13","13",75,61.5799114158738
"14","14",75,61.6617893943458
"15","15",75,61.9057390264684
"16","16",75,61.9682026369631
"17","17",75,62.0442989767976
"18","18",75,62.0468504470373
"19","19",75,62.1473061876212
"20","20",75,62.2190057075403
"21","21",75,62.3713250761965
"22","22",75,62.7466618067208
"23","23",75,62.9937182357653
"24","24",75,63.1156561393208
"25","25",75,63.4151501379483
"26","26",75,63.474858469385
"27","27",75,63.602236104509
"28","28",75,63.6672004856841
"29","29",75,63.7164762207147
"30","30",75,63.8439357533102
"31","31",75,63.9173889044941
"32","32",75,64.2178526467274
"33","33",75,64.2460074566422
"34","34",75,64.2639754850785
"35","35",75,64.3517560519033
"36","36",75,64.6993361628244
"37","37",75,64.7358045249763
"38","38",75,64.7412546921926
"39","39",75,64.7682847426434
"40","40",75,64.9666559241305
"41","41",75,65.0713818150032
"42","42",75,65.0740962319686
"43","43",75,65.1024460627427
"44","44",75,65.1132994959787
"45","45",75,65.3320608857129
"46","46",75,65.4412078343471
"47","47",75,65.4593906067439
"48","48",75,65.6517254493379
"49","49",75,65.8497926371847
"50","50",75,65.8520268139131
"51","51",75,65.9636654681533
"52","52",75,66.0450849167834
"53","53",75,66.0474310608521
"54","54",75,66.0803375145019
"55","55",75,66.1035038672412
"56","56",75,66.3973591269642
"57","57",75,66.4269559577462
"58","58",75,66.4476779384342
"59","59",75,66.4674013381337
"60","60",75,66.5264385970921
"61","61",75,66.6083254072117
"62","62",75,66.6806083796063
"63","63",75,66.7147296371413
"64","64",75,66.737857769791
"65","65",75,67.2742033607647
"66","66",75,67.5381844302672
"67","67",75,67.8321580550019
"68","68",75,67.8587748063405
"69","69",75,67.8820856601427
"70","70",75,67.9239425593275
"71","71",75,67.9496725040824
"72","72",75,67.9753264318177
"73","73",75,67.9938416917798
"74","74",75,68.0296398897877
"75","75",75,68.1104618179343
"76","76",75,68.1898172351557
"77","77",75,68.2571412847887
"78","78",75,68.2811222603469
"79","79",75,68.3685737677213
"80","80",75,68.6151310714528
"81","81",75,68.6449058382356
"82","82",75,68.6599659804806
"83","83",75,68.9123559307861
"84","84",75,68.9266283435707
"85","85",75,68.9527097434636
"86","86",75,69.032712172182
"87","87",75,69.0498526731149
"88","88",75,69.1014349393016
"89","89",75,69.1615353025608
"90","90",75,69.2386430013107
"91","91",75,69.2642671683886
"92","92",75,69.3268044815423
"93","93",75,69.8409001824533
"94","94",75,70.0030003489276
"95","95",75,70.0133293362983
"96","96",75,70.1032305597038
"97","97",75,70.1432687680127
"98","98",75,70.3916613313996
"99","99",75,70.4958173595514
"100","100",75,70.5156875613579
"101","101",75,70.5319726039371
"102","102",75,70.5649844594517
"103","103",75,70.5998531549274
"104","104",75,70.6656410290302
"105","105",75,70.8421713716982
"106","106",75,70.8629965234441
"107","107",75,70.8648444415525
"108","108",75,70.931852937884
"109","109",75,70.978639363575
"110","110",75,71.0250339699367
"111","111",75,71.0269492914391
"112","112",75,71.0316257884387
"113","113",75,71.058974152895
"114","114",75,71.0711420011936
"115","115",75,71.1381779223841
"116","116",75,71.1857719942025
"117","117",75,71.3382833782631
"118","118",75,71.3622297948728
"119","119",75,71.647658112438
"120","120",75,71.7072350215283
"121","121",75,71.7168711157111
"122","122",75,71.7444585493587
"123","123",75,71.9064311875644
"124","124",75,71.9554453653768
